A_AETCAN_AIR,A_AETCAN_AIR,
A_BOL_PTC,A_BOL_PTC,
A_BOL_PTC_LAM,A_BOL_PTC_LAM,
A_BON_QUA,A_BON_QUA,
A_CAL_AIR,A_CAL_AIR,
A_CFER_ARO,A_CFER_ARO,
A_CUC_POR,A_CUC_POR,
A_GNO_GNO,A_GNO_GNO,
A_LAV_MEN,A_LAV_MEN,
A_LAV_RSV,A_LAV_RSV,
A_MAG_CEV,A_MAG_CEV,
A_MAG_LOD,A_MAG_LOD,
A_MAG_RIV,A_MAG_RIV,
A_MAG_VIS,A_MAG_VIS,
A_MAR_MAR,A_MAR_MAR,
A_MAR_MAR2,A_MAR_MAR2,
A_MOR_GIU,A_MOR_GIU,
A_MUZ_MUZ,A_MUZ_MUZ,
A_RMUL_ARB,A_RMUL_ARB,
A_RMUL_COM,A_RMUL_COM,
A_RMUL_MAR,A_RMUL_MAR,
A_ROV_CVM1,A_ROV_CVM1,
A_ROV_CVM2,A_ROV_CVM2,
A_ROV_CVM3,A_ROV_CVM3,
A_SAL_MAG,A_SAL_MAG,
A_SBIB_PON,A_SBIB_PON,
A_SCA_LUG,A_SCA_LUG,
A_TICTO_CHIR,A_TICTO_CHIR,
A_TIC_BED,A_TIC_BED,
A_TRA_ARB,A_TRA_ARB,
A_TRA_ARB_FFS1,A_TRA_ARB_FFS1,
A_TRA_ARB_FFS2,A_TRA_ARB_FFS2,
A_VED_ISO,A_VED_ISO,
A_VED_MUZ,A_VED_MUZ,
A_VER_BGU,A_VER_BGU,
A_VVED_AGN,A_VVED_AGN,
B_TRE,B_TRE,
H_BIA,H_BIA,
H_CAB,H_CAB,
H_CAV,H_CAV,
H_CHIA,H_CHIA,
H_NOV,H_NOV,
H_TRE,H_TRE,
P_ARO,P_ARO,
P_BED,P_BED,
P_BED_OL,P_BED_OL,
P_BIA,P_BIA,
P_CAB,P_CAB,
P_CAD_RTM,P_CAD_RTM,
P_CAL,P_CAL,
P_CAM,P_CAM,
P_CAM_DOG,P_CAM_DOG,
P_CAR,P_CAR,
P_CAV,P_CAV,
P_CHIA,P_CHIA,
P_COL,P_COL,
P_CVM,P_CVM,
P_FRA,P_FRA,
P_FRA_OL,P_FRA_OL,
P_FUS,P_FUS,
P_FUS_PAE,P_FUS_PAE,
P_GIUB,P_GIUB,
P_GNO,P_GNO,
P_GRA,P_GRA,
P_ISO,P_ISO,
P_LOD,P_LOD,
P_LUZ,P_LUZ,
P_MAG,P_MAG,
P_MEN,P_MEN,
P_NOV,P_NOV,
P_OLI,P_OLI,
P_PON,P_PON,
P_SOM,P_SOM,
P_SON,P_SON,
P_TRE,P_TRE,
Q_AETCAN_AIR,Q_AETCAN_AIR,
Q_BOL_PTC,Q_BOL_PTC,
Q_BON_QUA,Q_BON_QUA,
Q_CAL_AIR,Q_CAL_AIR,
Q_CFER_ARO,Q_CFER_ARO,
Q_CUC_POR,Q_CUC_POR,
Q_GNO_GNO,Q_GNO_GNO,
Q_LAV_MEN,Q_LAV_MEN,
Q_LAV_RSV,Q_LAV_RSV,
Q_MAG_CEV,,Non c'era nemmeno nel vecchio istSOS
Q_MAG_LOD,Q_MAG_LOD,
Q_MAG_RIV,,Non c'era nemmeno nel vecchio istSOS
Q_MAG_VIS,Q_MAG_VIS,
Q_MAR_MAR,Q_MAR_MAR,
Q_MAR_MAR2,Q_MAR_MAR2,
Q_MOR_GIU,Q_MOR_GIU,
Q_MUZ_MUZ,Q_MUZ_MUZ,
Q_RMUL_ARB,Q_RMUL_ARB,
Q_RMUL_COM,Q_RMUL_COM,
Q_RMUL_MAR,Q_RMUL_MAR,
Q_ROV_CVM1,Q_ROV_CVM1,
Q_ROV_CVM2,Q_ROV_CVM2,
Q_ROV_CVM3,Q_ROV_CVM3,
Q_SAL_MAG,Q_SAL_MAG,
Q_SBIB_PON,Q_SBIB_PON,
Q_SCA_LUG,Q_SCA_LUG,
Q_TICTO_CHIR,Q_TICTO_CHIR,
Q_TIC_BED,Q_TIC_BED,
Q_TRA_ARB,Q_TRA_ARB,
Q_TRA_ARB_FFS,Q_TRA_ARB_FFS,
Q_TRA_ARB_FFS1,Q_TRA_ARB_FFS1,
Q_TRA_ARB_FFS2,Q_TRA_ARB_FFS2,
Q_TRA_ARB_FFS3,Q_TRA_ARB_FFS3,
Q_VED_ISO,Q_VED_ISO,
Q_VED_MUZ,Q_VED_MUZ,
Q_VER_BGU,Q_VER_BGU,
Q_VVED_AGN,Q_VVED_AGN,
R_CAV,R_CAV,
T_BIA,T_BIA,
T_CAB,T_CAB,
T_CAL,T_CAL,
T_CAM_DOG,T_CAM_DOG,
T_CAR,T_CAR,
T_CAV,T_CAV,
T_CHIA,T_CHIA,
T_COL,T_COL,
T_GRA,T_GRA,
T_ISO,T_ISO,
T_NOV,T_NOV,
T_PON,T_PON,
T_SON,T_SON,
T_TRE,T_TRE,
WK_MUZ_MUZ,WK_MUZ_MUZ,
WT_BOL_PTC,WT_BOL_PTC,
WT_BON_QUA,WT_BON_QUA,
WT_CAL_AIR,WT_CAL_AIR,
WT_CUC_POR,WT_CUC_POR,
WT_GNO_GNO,WT_GNO_GNO,
WT_LAV_MEN,WT_LAV_MEN,
WT_LAV_RSV,WT_LAV_RSV,
WT_MAG_CEV,WT_MAG_CEV,
WT_MAG_LOD,WT_MAG_LOD,
WT_MAR_MAR,WT_MAR_MAR,
WT_MAR_MAR2,WT_MAR_MAR2,
WT_MOR_GIU,WT_MOR_GIU,
WT_MUZ_MUZ,WT_MUZ_MUZ,
WT_ROV_CVM1,WT_ROV_CVM1,
WT_ROV_CVM2,WT_ROV_CVM2,
WT_ROV_CVM3,WT_ROV_CVM3,
WT_SAL_MAG,WT_SAL_MAG,
WT_SCA_LUG,WT_SCA_LUG,
WT_TIC_BED,WT_TIC_BED,
WT_TRA_ARB_FFS1,WT_TRA_ARB_FFS1,
WT_VED_ISO,WT_VED_ISO,
WT_VVED_AGN,WT_VVED_AGN,
W_PON,W_PON,
