"A_AETCAN_AIR","2006-12-31T23:00:00+00:00","2006-12-31T23:00:00+00:00","2011-12-31T22:50:00+00:00","2011-12-31T22:50:00+00:00"
"A_BOL_PTC","1999-12-31T23:00:00+00:00","1999-12-31T23:00:00+00:00","2015-05-06T09:10:00+00:00","2015-05-05T11:50:00+00:00"
"A_BOL_PTC_LAM","2012-12-04T09:30:00+00:00","2012-12-04T09:30:00+00:00","2015-05-06T08:30:00+00:00","2015-05-05T06:50:00+00:00"
"A_BON_QUA","1990-05-03T23:00:00+00:00","1990-05-03T23:00:00+00:00","2015-04-17T07:10:00+00:00","2015-04-17T07:10:00+00:00"
"A_CAL_AIR","1999-12-31T23:00:00+00:00","1999-12-31T23:00:00+00:00","2015-04-08T12:40:00+00:00","2015-04-08T12:43:00+00:00"
"A_CFER_ARO","2006-12-31T23:00:00+00:00","2006-12-31T23:00:00+00:00","2015-01-08T15:00:00+00:00","2015-01-08T15:00:00+00:00"
"A_CUC_POR","1999-12-31T23:00:00+00:00","1999-12-31T23:00:00+00:00","2015-05-06T09:10:00+00:00","2015-05-05T11:50:00+00:00"
"A_GNO_GNO","1990-01-10T23:00:00+00:00","1990-01-10T23:00:00+00:00","2015-04-29T12:10:00+00:00","2015-04-29T12:17:00+00:00"
"A_LAV_MEN","1990-01-18T23:00:00+00:00","1990-01-18T23:00:00+00:00","2015-04-28T07:50:00+00:00","2015-04-28T07:52:00+00:00"
"A_LAV_RSV","1990-01-10T23:00:00+00:00","1990-01-10T23:00:00+00:00","2015-05-06T09:10:00+00:00","2015-05-05T12:00:00+00:00"
"A_MAG_CEV","2003-10-20T23:00:00+00:00","2003-11-03T23:00:00+00:00","2009-05-15T11:20:00+00:00","2009-05-15T11:20:00+00:00"
"A_MAG_LOD","2001-10-28T23:00:00+00:00","2001-10-28T23:00:00+00:00","2015-04-02T12:10:00+00:00","2015-04-02T12:15:00+00:00"
"A_MAG_RIV","2003-03-11T23:00:00+00:00","2003-03-11T23:00:00+00:00","2009-06-23T05:20:00+00:00","2009-06-23T05:20:00+00:00"
"A_MAG_VIS","2001-09-26T23:00:00+00:00","2001-09-26T23:00:00+00:00","2004-10-21T12:20:00+00:00","2004-10-21T12:20:00+00:00"
"A_MAR_MAR","1990-01-10T23:00:00+00:00","1990-01-10T23:00:00+00:00","2014-01-03T09:40:00+00:00","2014-01-03T09:40:00+00:00"
"A_MAR_MAR2","2013-07-18T09:10:00+00:00","2013-07-18T09:10:00+00:00","2015-05-06T09:00:00+00:00","2015-05-05T11:00:00+00:00"
"A_MOR_GIU","2000-12-31T23:00:00+00:00","2000-12-31T23:00:00+00:00","2015-05-06T09:20:00+00:00","2015-05-05T12:00:00+00:00"
"A_MUZ_MUZ","2005-06-08T23:00:00+00:00","2005-06-08T23:00:00+00:00","2015-04-21T13:30:00+00:00","2015-04-21T13:32:00+00:00"
"A_RMUL_ARB","2009-04-02T23:00:00+00:00","2009-04-02T23:00:00+00:00","2015-04-24T06:50:00+00:00","2015-04-24T06:57:00+00:00"
"A_RMUL_COM","2004-09-15T23:00:00+00:00","2004-09-15T23:00:00+00:00","2007-03-29T07:30:00+00:00","2007-03-29T07:30:00+00:00"
"A_RMUL_MAR","2013-07-18T08:00:00+00:00","2013-07-18T08:00:00+00:00","2015-04-28T08:30:00+00:00","2015-04-28T08:34:00+00:00"
"A_ROV_CVM1","2001-10-23T15:00:00+00:00","2001-10-23T15:00:00+00:00","2015-01-02T09:30:00+00:00","2015-01-02T09:30:00+00:00"
"A_ROV_CVM2","1999-11-26T23:00:00+00:00","1999-11-26T23:00:00+00:00","2015-01-02T09:40:00+00:00","2015-01-02T09:40:00+00:00"
"A_ROV_CVM3","2001-10-23T23:00:00+00:00","2001-10-23T23:00:00+00:00","2015-04-23T08:20:00+00:00","2015-04-23T08:28:00+00:00"
"A_SAL_MAG","1999-12-31T23:00:00+00:00","1999-12-31T23:00:00+00:00","2015-05-06T05:00:00+00:00","2015-05-05T11:00:00+00:00"
"A_SBIB_PON","2007-11-05T23:00:00+00:00","2007-11-05T23:00:00+00:00","2015-04-29T08:00:00+00:00","2015-04-29T08:00:00+00:00"
"A_SCA_LUG","1999-12-31T23:00:00+00:00","1999-12-31T23:00:00+00:00","2015-05-06T09:10:00+00:00","2015-05-05T11:50:00+00:00"
"A_TICTO_CHIR","2003-12-10T23:00:00+00:00","2003-12-10T23:00:00+00:00","2006-08-31T09:30:00+00:00","2006-08-31T09:30:00+00:00"
"A_TIC_BED","1994-12-21T23:00:00+00:00","1994-12-21T23:00:00+00:00","2015-04-15T11:20:00+00:00","2015-04-15T11:20:00+00:00"
"A_TRA_ARB","1990-01-15T23:00:00+00:00","1990-01-15T23:00:00+00:00","2009-04-03T09:30:00+00:00","2009-04-03T09:30:00+00:00"
"A_TRA_ARB_FFS1","2009-04-02T23:00:00+00:00","2009-04-02T23:00:00+00:00","2015-05-06T09:10:00+00:00","2015-05-05T11:50:00+00:00"
"A_TRA_ARB_FFS2","2011-05-05T14:00:00+00:00","2011-05-05T14:00:00+00:00","2015-05-06T09:10:00+00:00","2015-05-05T11:50:00+00:00"
"A_VED_ISO","1997-10-09T23:00:00+00:00","1997-10-09T23:00:00+00:00","2015-04-16T12:00:00+00:00","2015-04-16T12:09:00+00:00"
"A_VED_MUZ","1999-12-31T23:00:00+00:00","1999-12-31T23:00:00+00:00","2005-06-24T13:00:00+00:00","2005-06-24T13:00:00+00:00"
"A_VER_BGU","2003-10-30T23:00:00+00:00","2003-10-30T23:00:00+00:00","2010-09-03T11:30:00+00:00","2010-09-03T11:30:00+00:00"
